xpos,ypos,velocity,yaw
3857,360,1.0,6.2811426914063
3859,360,1.0,6.2769242424316
3861,360,2.0,6.2706604848633
3863,360,2.0,6.2619679233398
3865,360,2.0,6.2489290810547
3867,360,2.0,6.2337170983887
3869,360,1.0,6.2141588349609
3871,360,1.0,6.1910212814941
3873,360,1.0,6.1699290366211
3875,360,1.0,6.1510099321289
3877,361,1.0,6.1341361362305
3878,361,1.0,6.1194354807129
3880,361,1.0,6.1067801337891
3882,362,1.0,6.0962979272461
3884,362,1.0,6.0836425803223
3886,362,1.0,6.0689419248047
3888,363,1.0,6.0520681289063
3889,363,1.0,6.0331490244141
3891,364,1.0,6.0100114709473
3893,364,1.0,5.9826554685059
3895,365,1.0,5.9531263256836
3897,365,1.0,5.9227023603516
3899,366,1.0,5.8922783950195
3901,367,2.0,5.8618544296875
3903,368,2.0,5.8314304643555
3905,369,2.0,5.8010064990234
3907,370,1.4142135623731,5.7705825336914
3909,371,1.4142135623731,5.7423317087402
3911,372,1.4142135623731,5.7162540241699
3912,373,1.4142135623731,5.6923494799805
3914,375,1.4142135623731,5.6706180761719
3916,376,1.4142135623731,5.6510598127441
3918,377,1.4142135623731,5.6336746896973
3919,378,1.4142135623731,5.6184627070313
3921,380,1.4142135623731,5.6054238647461
3923,381,1.4142135623731,5.5945581628418
3924,382,1.4142135623731,5.5858656013184
3926,384,1.4142135623731,5.5793461801758
3928,385,1.4142135623731,5.5749998994141
3930,387,1.4142135623731,5.5728267590332
3931,388,1.4142135623731,5.5684804782715
3933,390,1.4142135623731,5.5619610571289
3935,391,1.4142135623731,5.5532684956055
3937,393,1.4142135623731,5.542147130127
3939,395,1.4142135623731,5.5265516520996
3941,397,1.4142135623731,5.5086552019043
3943,398,1.4142135623731,5.493059723877
3944,400,1.4142135623731,5.4796373862305
3946,402,1.4142135623731,5.468516020752
3948,404,1.4142135623731,5.4595677956543
3950,406,1.4142135623731,5.4530483745117
3951,407,1.4142135623731,5.44870209375
3953,409,1.4142135623731,5.4465289533691
3954,411,1.4142135623731,5.4465289533691
3956,413,1.4142135623731,5.4465289533691
3958,414,1.4142135623731,5.4465289533691
3959,416,1.4142135623731,5.4465289533691
3961,418,1.4142135623731,5.4465289533691
3963,420,1.4142135623731,5.4465289533691
3964,421,1.4142135623731,5.4465289533691
3966,423,1.4142135623731,5.4465289533691
3967,425,1.4142135623731,5.4465289533691
3969,427,1.4142135623731,5.4465289533691
3971,428,1.4142135623731,5.4465289533691
3973,430,1.4142135623731,5.4465289533691
3975,432,1.4142135623731,5.4443558129883
3976,434,2.2360679774998,5.4398817004395
3978,436,2.2360679774998,5.4332344475098
3980,439,2.2360679774998,5.4242862224121
3982,441,2.2360679774998,5.4176389694824
3984,443,2.2360679774998,5.4131648569336
3986,445,2.2360679774998,5.4109917165527
3987,447,2.2360679774998,5.4109917165527
3989,449,2.2360679774998,5.4109917165527
3991,451,2.2360679774998,5.4109917165527
3993,453,2.2360679774998,5.4109917165527
3995,455,2.2360679774998,5.4109917165527
3996,457,2.2360679774998,5.4109917165527
3998,459,1.4142135623731,5.4088185761719
4000,461,1.4142135623731,5.404344463623
4001,463,2.2360679774998,5.3976972106934
4003,465,2.2360679774998,5.3887489855957
4005,467,2.2360679774998,5.3753266479492
4006,469,2.2360679774998,5.3597311699219
4008,471,2.2360679774998,5.3396615793457
4009,473,2.2360679774998,5.3151178762207
4011,475,2.2360679774998,5.2861000605469
4012,477,2.2360679774998,5.2547812727051
4013,480,2.2360679774998,5.2234624848633
4015,482,2.2360679774998,5.1944446691895
4016,484,2.2360679774998,5.1683669846191
4017,486,2.2360679774998,5.1444624404297
4018,488,2.2360679774998,5.1227310366211
4019,491,2.0,5.1031727731934
4020,493,2.0,5.0857876501465
4021,495,2.0,5.0705756674805
4021,498,2.0,5.057153329834
4022,500,2.0,5.0460319643555
4023,503,2.0,5.0370837392578
4024,506,2.0,5.0304364863281
4025,508,2.0,5.0259623737793
4026,511,2.0,5.0237892333984
4027,514,2.0,5.0237892333984
4028,516,2.0,5.0237892333984
4029,519,2.0,5.0216160930176
4030,522,2.0,5.0171419804688
4030,524,2.0,5.0104947275391
4031,527,2.0,5.0015465024414
4032,529,2.0,4.9881241647949
4033,532,2.0,4.9725286867676
4033,535,2.0,4.9524590961914
4034,537,2.0,4.9279153930664
4035,540,2.0,4.9055448303223
4035,542,2.0,4.8854752397461
4036,545,2.0,4.8675787895508
4036,548,2.0,4.8519833115234
4036,550,2.0,4.838560973877
4037,553,2.0,4.8274396083984
4037,555,2.0,4.814017270752
4037,558,2.0,4.7984217927246
4037,560,2.0,4.7805253425293
4038,563,2.0,4.7604557519531
4038,565,2.0,4.7359120488281
4038,568,2.0,4.7068942331543
4038,570,2.2360679774998,4.6755754453125
4038,573,2.2360679774998,4.6473246203613
4037,575,2.2360679774998,4.621246935791
4037,578,2.2360679774998,4.596703232666
4037,581,2.2360679774998,4.5743326699219
4036,583,2.2360679774998,4.5542630793457
4036,586,2.2360679774998,4.5363666291504
4036,589,2.2360679774998,4.520771151123
4035,592,2.2360679774998,4.5073488134766
4034,594,2.2360679774998,4.496227447998
4034,597,2.2360679774998,4.4828051103516
4033,600,2.2360679774998,4.4672096323242
4033,602,2.2360679774998,4.4493131821289
4032,605,2.2360679774998,4.4292435915527
4031,607,2.2360679774998,4.4046998884277
4030,610,2.2360679774998,4.3778552131348
4029,612,2.2360679774998,4.3533115100098
4028,615,2.2360679774998,4.3309409472656
4027,617,2.2360679774998,4.3108713566895
4026,619,2.2360679774998,4.2929749064941
4025,622,2.8284271247462,4.2773794284668
4024,624,2.8284271247462,4.2639570908203
4023,627,2.8284271247462,4.248361612793
4022,629,2.8284271247462,4.2304651625977
4021,632,2.8284271247462,4.2080945998535
4019,634,2.8284271247462,4.1835508967285
4018,637,2.8284271247462,4.1567062214355
4016,639,2.8284271247462,4.1253874335938
4015,641,2.8284271247462,4.094068645752
4013,644,2.8284271247462,4.0650508300781
4011,646,2.8284271247462,4.0382061547852
4010,648,2.8284271247462,4.0136624516602
4008,650,2.8284271247462,3.991291888916
4006,652,2.8284271247462,3.9712222983398
4004,654,2.2360679774998,3.9533258481445
4002,656,2.2360679774998,3.9377303701172
4000,658,2.2360679774998,3.9243080324707
3998,660,2.2360679774998,3.9131866669922
3996,662,2.2360679774998,3.9042384418945
3995,664,2.2360679774998,3.8975911889648
3993,665,2.2360679774998,3.893117076416
3991,667,2.2360679774998,3.8909439360352
3989,669,2.2360679774998,3.8909439360352
3987,671,2.2360679774998,3.8909439360352
3985,673,2.2360679774998,3.8909439360352
3983,674,2.2360679774998,3.8909439360352
3981,676,2.2360679774998,3.8909439360352
3979,678,3.1622776601684,3.8909439360352
3977,680,3.1622776601684,3.8909439360352
3975,682,3.1622776601684,3.8909439360352
3973,684,3.605551275464,3.8909439360352
3971,686,3.1622776601684,3.8909439360352
3969,688,3.1622776601684,3.8909439360352
3967,690,3.1622776601684,3.8909439360352
3964,692,3.1622776601684,3.8909439360352
3962,694,3.1622776601684,3.8909439360352
3960,696,3.1622776601684,3.8909439360352
3958,698,3.1622776601684,3.8909439360352
3956,700,3.1622776601684,3.8909439360352
3954,702,3.1622776601684,3.8909439360352
3952,703,3.1622776601684,3.8909439360352
3950,705,3.1622776601684,3.8909439360352
3948,707,3.1622776601684,3.8909439360352
3946,709,2.2360679774998,3.8909439360352
3944,711,2.2360679774998,3.8909439360352
3942,713,2.2360679774998,3.8909439360352
3940,715,2.2360679774998,3.8909439360352
3938,716,2.2360679774998,3.8909439360352
3936,718,2.2360679774998,3.8909439360352
3934,720,2.2360679774998,3.8909439360352
3932,722,2.2360679774998,3.8909439360352
3930,724,2.2360679774998,3.8909439360352
3929,725,2.2360679774998,3.8909439360352
3927,727,2.2360679774998,3.8909439360352
