xpos,ypos,velocity,yaw,,yaw,xpos,ypos
1421,0,7,0,,12288,3581,360
1428,0,7,0,,12288,3588,360
1436,0,7,0,,12288,3596,360
1443,0,7,0,,12288,3603,360
1450,0,7,0,,12288,3610,360
1457,0,7,0,,12288,3617,360
1464,0,7,0,,12288,3624,360
1472,0,7,0,,12288,3632,360
1479,0,7,0,,12288,3639,360
1486,0,7,0,,12288,3646,360
1493,0,7,0,,12288,3653,360
1500,0,7,0,,12288,3660,360
1507,0,7,0,,12288,3667,360
1514,0,7,0,,12288,3674,360
1521,0,7,0,,12288,3681,360
1528,0,7,0,,12288,3688,360
1536,0,7,0,,12288,3696,360
1543,0,7,0,,12288,3703,360
1550,0,7,0,,12288,3710,360
1557,0,6,0,,12288,3717,360
1564,0,6,0,,12288,3724,360
1570,0,6,0,,12288,3730,360
1577,0,6,0,,12288,3737,360
1584,0,6,0,,12288,3744,360
1591,0,6,0,,12288,3751,360
1598,0,6,0,,12288,3758,360
1605,0,6,0,,12288,3765,360
1612,0,6,0,,12288,3772,360
1619,0,6,0,,12288,3779,360
1626,0,6,0,,12288,3786,360
1632,0,6,0,,12288,3792,360
1639,0,6,0,,12288,3799,360
1646,0,6,0,,12288,3806,360
1653,0,6,0,,12288,3813,360
1659,0,6,0,,12288,3819,360
1666,0,6,0,,12288,3826,360
1673,0,6,21,,12309,3833,360
1680,0,6,64,,12352,3840,360
1686,0,6,128,,12416,3846,360
1693,0,6,214,,12502,3853,360
1700,0,6,343,,12631,3860,360
1706,0,6,493,,12781,3866,360
1713,0,6,686,,12974,3873,360
1720,1,6,922,,13210,3880,361
1726,2,6,1201,,13489,3886,362
1733,3,6.08276253,1502,,13790,3893,363
1739,4,6.08276253,1803,,14091,3899,364
1745,6,6.08276253,2104,,14392,3905,366
1752,8,6.08276253,2405,,14693,3912,368
1758,10,6.32455532,2706,,14994,3918,370
1764,12,6.32455532,3007,,15295,3924,372
1770,15,5.385164807,3308,,15596,3930,375
1776,18,5.385164807,3602,,15890,3936,378
1781,21,5.830951895,3896,,16184,3941,381
1787,24,5.830951895,4190,,16478,3947,384
1792,27,5.830951895,4484,,16772,3952,387
1798,31,5.830951895,4778,,17066,3958,391
1803,35,5.830951895,5072,,17360,3963,395
1808,39,5.830951895,5366,,17654,3968,399
1813,43,5.656854249,5660,,17948,3973,403
1817,47,5.656854249,5954,,18242,3977,407
1822,52,5.656854249,6248,,18536,3982,412
1826,56,5.656854249,6542,,18830,3986,416
1830,61,5.656854249,6836,,19124,3990,421
1834,66,5,7130,,19418,3994,426
1838,71,5.830951895,7424,,19712,3998,431
1841,76,5.830951895,7718,,20006,4001,436
1845,81,5.830951895,8012,,20300,4005,441
1848,87,5.830951895,8306,,20594,4008,447
1851,92,5.385164807,8600,,20888,4011,452
1853,98,5.385164807,8894,,21182,4013,458
1856,103,5.385164807,9188,,21476,4016,463
1858,109,5.385164807,9482,,21770,4018,469
1860,115,5.099019514,9776,,22064,4020,475
1862,121,5.099019514,10070,,22358,4022,481
1863,127,5.099019514,10364,,22652,4023,487
1865,133,5.099019514,10658,,22946,4025,493
1866,139,5.099019514,10952,,23240,4026,499
1867,145,5,11246,,23534,4027,505
1868,151,6,11540,,23828,4028,511
1868,157,6,11834,,24122,4028,517
1868,163,6,12128,,24416,4028,523
1868,169,6,12422,,24710,4028,529
1868,175,5.099019514,12716,,25004,4028,535
1868,181,5.099019514,13003,,25291,4028,541
1867,187,5.099019514,13290,,25578,4027,547
1866,192,5.099019514,13577,,25865,4026,552
1865,198,5.385164807,13864,,26152,4025,558
1864,204,5.385164807,14151,,26439,4024,564
1862,210,5.385164807,14438,,26726,4022,570
1860,215,5.385164807,14725,,27013,4020,575
1858,221,5.385164807,15012,,27300,4018,581
1856,226,5.830951895,15299,,27587,4016,586
1854,232,5.830951895,15586,,27874,4014,592
1852,237,5.830951895,15873,,28161,4012,597
1849,242,5.830951895,16160,,28448,4009,602
1846,247,5.830951895,16426,,28714,4006,607
1843,252,5.656854249,16672,,28960,4003,612
1840,257,5.656854249,16897,,29185,4000,617
1837,262,5.656854249,17102,,29390,3997,622
1833,266,5.656854249,17286,,29574,3993,626
1830,271,5.656854249,17450,,29738,3990,631
1826,275,5.656854249,17593,,29881,3986,635
1823,280,5.656854249,17716,,30004,3983,640
1819,284,5.656854249,17818,,30106,3979,644
1816,288,5.656854249,17900,,30188,3976,648
1812,293,5.656854249,17961,,30249,3972,653
1808,297,5.656854249,18002,,30290,3968,657
1804,301,5.656854249,18022,,30310,3964,661
1801,305,5.656854249,18022,,30310,3961,665
1797,309,5.656854249,18022,,30310,3957,669
1794,314,5.656854249,18022,,30310,3954,674
1790,318,5.656854249,18022,,30310,3950,678
1786,322,5.656854249,18022,,30310,3946,682
1783,326,5.656854249,18042,,30330,3943,686
1779,330,5.656854249,18083,,30371,3939,690
1775,334,5.656854249,18143,,30431,3935,694
1772,338,5,18223,,30511,3932,698
1768,342,5,18343,,30631,3928,702
1764,346,5,18483,,30771,3924,706
1760,350,5,18663,,30951,3920,710
1756,354,5,18883,,31171,3916,714
1752,357,5.830951895,19143,,31431,3912,717
1748,360,5.830951895,19423,,31711,3908,720
1744,364,5.830951895,19703,,31991,3904,724
1740,367,5.385164807,19983,,32271,3900,727
1735,370,5.385164807,20263,,32551,3895,730
1730,372,5.385164807,-44993,,-32705,3890,732
1726,375,5.385164807,-44713,,-32425,3886,735
1721,377,5.385164807,-44433,,-32145,3881,737
1716,379,5.385164807,-44153,,-31865,3876,739
1711,381,5.385164807,-43873,,-31585,3871,741
1707,383,5.099019514,-43593,,-31305,3867,743
1702,385,5.099019514,-43313,,-31025,3862,745
1697,386,5.099019514,-43033,,-30745,3857,746
1692,388,6.08276253,-42753,,-30465,3852,748
1687,389,6.08276253,-42473,,-30185,3847,749
1681,389,6,-42193,,-29905,3841,749
1676,390,6,-41913,,-29625,3836,750
1671,391,6,-41653,,-29365,3831,751
1666,391,6,-41413,,-29125,3826,751
1661,391,6,-41193,,-28905,3821,751
1656,391,6,-40993,,-28705,3816,751
1651,391,6,-40813,,-28525,3811,751
1646,391,6.08276253,-40653,,-28365,3806,751
1641,391,6.08276253,-40513,,-28225,3801,751
1636,391,6.08276253,-40393,,-28105,3796,751
1631,390,5.099019514,-40293,,-28005,3791,750
1626,390,5.099019514,-40215,,-27927,3786,750
1621,389,5.099019514,-40157,,-27869,3781,749
1616,389,5.099019514,-40118,,-27830,3776,749
1611,388,5.099019514,-40099,,-27811,3771,748
1606,388,6.08276253,-40099,,-27811,3766,748
1601,387,6.08276253,-40099,,-27811,3761,747
1596,387,6.08276253,-40099,,-27811,3756,747
1591,386,6.08276253,-40099,,-27811,3751,746
1586,386,6.08276253,-40099,,-27811,3746,746
1581,385,6.08276253,-40099,,-27811,3741,745
1575,385,6.08276253,-40099,,-27811,3735,745
1570,384,6.08276253,-40099,,-27811,3730,744
1565,384,6.08276253,-40099,,-27811,3725,744
1560,383,6.08276253,-40099,,-27811,3720,743
1554,383,6.08276253,-40099,,-27811,3714,743
1549,382,6.08276253,-40119,,-27831,3709,742
1544,382,6.08276253,-40179,,-27891,3704,742
1538,381,6.08276253,-40259,,-27971,3698,741
1533,381,6.08276253,-40359,,-28071,3693,741
1527,380,6.08276253,-40439,,-28151,3687,740
1522,380,6.08276253,-40500,,-28212,3682,740
1516,380,6.08276253,-40541,,-28253,3676,740
1510,380,6.08276253,-40561,,-28273,3670,740
1505,380,6.08276253,-40561,,-28273,3665,740
1499,380,6.08276253,-40561,,-28273,3659,740
1493,379,6.08276253,-40561,,-28273,3653,739
1488,379,6.08276253,-40561,,-28273,3648,739
1482,379,6.08276253,-40561,,-28273,3642,739
1476,379,6.08276253,-40561,,-28273,3636,739
1470,379,6.08276253,-40561,,-28273,3630,739
1464,379,6.08276253,-40561,,-28273,3624,739
1458,378,6.08276253,-40561,,-28273,3618,738
1453,378,6.08276253,-40561,,-28273,3613,738
1447,378,6.08276253,-40561,,-28273,3607,738
1441,378,6.08276253,-40561,,-28273,3601,738
1435,378,7.071067812,-40561,,-28273,3595,738
1429,377,7.071067812,-40561,,-28273,3589,737
1422,377,7.071067812,-40561,,-28273,3582,737
1416,377,7.071067812,-40561,,-28273,3576,737
1410,377,7.071067812,-40561,,-28273,3570,737
1404,377,7.071067812,-40561,,-28273,3564,737
1398,376,7.071067812,-40561,,-28273,3558,736
1392,376,7.071067812,-40561,,-28273,3552,736
1385,376,7.071067812,-40582,,-28294,3545,736
1379,376,7.071067812,-40645,,-28357,3539,736
1373,376,7,-40729,,-28441,3533,736
1366,376,7,-40792,,-28504,3526,736
1360,376,7,-40834,,-28546,3520,736
1353,376,7,-40855,,-28567,3513,736
1347,376,7,-40855,,-28567,3507,736
1341,376,7,-40855,,-28567,3501,736
1334,376,7,-40855,,-28567,3494,736
1327,376,7,-40855,,-28567,3487,736
1321,376,7,-40855,,-28567,3481,736
1314,376,7,-40855,,-28567,3474,736
1308,376,7,-40855,,-28567,3468,736
1301,376,7,-40855,,-28567,3461,736
1295,376,7,-40855,,-28567,3455,736
1288,376,7,-40855,,-28567,3448,736
1281,376,7,-40855,,-28567,3441,736
1275,376,7,-40855,,-28567,3435,736
1268,376,7,-40855,,-28567,3428,736
1261,376,7,-40855,,-28567,3421,736
1255,376,7,-40855,,-28567,3415,736
1248,376,7,-40855,,-28567,3408,736
1241,376,7,-40855,,-28567,3401,736
1234,376,7,-40855,,-28567,3394,736
1228,376,7,-40855,,-28567,3388,736
1221,376,7,-40855,,-28567,3381,736
1214,376,7,-40855,,-28567,3374,736
1207,376,7,-40855,,-28567,3367,736
1200,376,7,-40855,,-28567,3360,736
1193,376,7,-40855,,-28567,3353,736
1187,376,7,-40855,,-28567,3347,736
1180,376,7,-40855,,-28567,3340,736
1173,376,7,-40855,,-28567,3333,736
1166,376,7,-40855,,-28567,3326,736
1159,376,7,-40855,,-28567,3319,736
1152,376,7,-40855,,-28567,3312,736
1145,376,7,-40855,,-28567,3305,736
1138,376,7,-40855,,-28567,3298,736
1131,376,7,-40855,,-28567,3291,736
1124,376,8,-40855,,-28567,3284,736
1117,376,8,-40855,,-28567,3277,736
1110,376,8,-40855,,-28567,3270,736
1103,376,8,-40855,,-28567,3263,736
1096,376,8,-40855,,-28567,3256,736
1089,376,8,-40855,,-28567,3249,736
1082,376,8,-40855,,-28567,3242,736
1075,376,8,-40855,,-28567,3235,736
1068,376,8,-40855,,-28567,3228,736
1061,376,8,-40855,,-28567,3221,736
1054,376,8,-40855,,-28567,3214,736
1047,376,8,-40855,,-28567,3207,736
1039,376,8,-40855,,-28567,3199,736
1032,376,8,-40855,,-28567,3192,736
1025,376,8,-40855,,-28567,3185,736
1018,376,8,-40855,,-28567,3178,736
1011,376,8,-40855,,-28567,3171,736
1004,376,8,-40855,,-28567,3164,736
997,376,8,-40855,,-28567,3157,736
990,376,8,-40855,,-28567,3150,736
982,376,8,-40855,,-28567,3142,736
975,376,8,-40855,,-28567,3135,736
968,376,8,-40855,,-28567,3128,736
961,376,8,-40855,,-28567,3121,736
954,376,8,-40855,,-28567,3114,736
947,376,8,-40855,,-28567,3107,736
939,376,8,-40855,,-28567,3099,736
932,376,8,-40855,,-28567,3092,736
925,376,8,-40855,,-28567,3085,736
918,376,8,-40855,,-28567,3078,736
910,376,8,-40855,,-28567,3070,736
903,376,8,-40855,,-28567,3063,736
896,376,8,-40855,,-28567,3056,736
889,376,8,-40855,,-28567,3049,736
